title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Clash of the Titans",movie,"Action, Adventure, Fantasy",2010,tt0800320,5.8,295690,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"In Cold Blood",movie,"Biography, Crime, Drama",1967,tt0061809,7.9,29962,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"The Boat That Rocked",movie,"Comedy, Drama, Music",2009,tt1131729,7.3,117213,"FR, MC"
"As You Like It",movie,"Comedy, Drama, Romance",2006,tt0450972,6.1,3804,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HU, JM, LC, MC, MX, NI, NL, NO, PA, PE, PL, PT, PY, SE, SK, SV, TC, TT, US, UY, VE"
"Excellent Cadavers",movie,"Crime, Drama, Thriller",1999,tt0151734,6.5,1440,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, UY, VE"
"Superman: Brainiac Attacks",movie,"Action, Animation, Sci-Fi",2006,tt0800226,5.8,5104,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Laramie Project",movie,"Crime, Drama, History",2002,tt0257850,7.1,7042,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Two If by Sea",movie,"Comedy, Crime, Romance",1996,tt0118002,5.3,6468,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Zelary,movie,"Drama, Romance, War",2003,tt0288330,7.5,3790,"CZ, SK"
Medvídek,movie,"Comedy, Drama",2007,tt1132596,6.2,575,"CZ, SK"
"In the Loop",movie,Comedy,2009,tt1226774,7.4,62284,"DK, FI, NO, SE"
"Grey Gardens",movie,"Biography, Drama",2009,tt0758751,7.4,11417,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"Couples Retreat",movie,Comedy,2009,tt1078940,5.5,116546,"AG, AR, BB, BE, BO, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Zombieland,movie,"Action, Comedy, Horror",2009,tt1156398,7.5,634449,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Final Destination",movie,"Horror, Thriller",2009,tt1144884,5.1,118563,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
"The End of the Affair",movie,"Drama, Mystery, Romance",1999,tt0172396,7,24339,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
"The Batman vs. Dracula",movie,"Action, Animation, Horror",2005,tt0472219,6.6,11532,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Deep Red",movie,"Horror, Mystery, Thriller",1975,tt0073582,7.5,44125,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"The Last Outlaw",movie,"Action, Drama, Western",1993,tt0110307,6.1,3263,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"Scooby-Doo and the Alien Invaders",movie,"Adventure, Animation, Comedy",2000,tt0253658,6.8,8170,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Until Death",movie,"Action, Crime, Drama",2007,tt0783598,5.7,10502,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Naked City",movie,"Crime, Drama, Film-Noir",1948,tt0040636,7.5,15847,"AG, BB, BS, HN, NI, RS, TT, US"
61*,movie,"Biography, Drama, History",2001,tt0250934,7.7,17920,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Something the Lord Made",movie,"Biography, Drama",2004,tt0386792,8.1,15960,"AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Scooby-Doo in Where's My Mummy?",movie,"Adventure, Animation, Comedy",2005,tt0480461,6.6,4866,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, UY, VE"
"Robin Hood",movie,"Action, Adventure, Drama",2010,tt0955308,6.6,286989,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
